"s","x","xp","y","yp"
0.147352,0.001845858284,-0.00002567635136,-8.205012309e-6,-5.071895319e-6
0.147352,-0.001845858284,0.00002567635136,-8.205012309e-6,-5.071895319e-6
0.147352,-0.001845858284,0.00002567635136,-8.205012309e-6,-5.071895319e-6
0.147352,0.001845858284,-0.00002567635136,-8.205012309e-6,-5.071895319e-6
0.04547,-0.001850470228,0.000021431787300000003,0.00002487574389,1.659970973e-6
0.04547,0.001850470228,-0.000021431787300000003,0.00002487574389,1.659970973e-6
0.04547,-0.001850470228,0.000021431787300000003,0.00002487574389,1.659970973e-6
0.039691,-0.0018502773400000002,0.00002508623707,-0.00009079697054,-2.147439525e-6
0.039691,0.0018502773400000002,-0.00002508623707,-0.00009079697054,-2.147439525e-6
0.039691,0.0018502773400000002,-0.00002508623707,-0.00009079697054,-2.147439525e-6
0.039691,-0.0018502773400000002,0.00002508623707,-0.00009079697054,-2.147439525e-6
0.042093,-0.001848282773,0.00002397169548,0.00006925675754000001,4.353322411e-6
0.042093,0.001848282773,-0.00002397169548,0.00006925675754000001,4.353322411e-6
0.042093,0.001848282773,-0.00002397169548,0.00006925675754000001,4.353322411e-6
0.027695,0.0018477011240000001,-0.00002424186452,-0.0000490804837,-3.006565596e-6
0.051482,0.001850912379,-0.00002493962939,0.0001397399896,4.6779782500000004e-6
0.051482,0.001850912379,-0.00002493962939,0.0001397399896,4.6779782500000004e-6
0.051482,-0.001850912379,0.00002493962939,0.0001397399896,4.6779782500000004e-6
0.121174,-0.0018498706670000001,0.00002639310779,0.00009676576425,5.334156238e-6
